Họ Tên,MSSV,Khoa,Ngành,Lớp,Môn học,thoi_gian_tu_hoc,chuyen_can,diem_qua_trinh,hoan_thanh_bai_tap,loai_mon_hoc,tai_lieu_on_tap,hinh_thuc_thi,tre_hoc_phi,ho_tro,tre_hoc,hoc_nhom,lam_them,co_kinh_nghiem
Huỳnh Đức Long,226A010563,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 1,86,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,25,Có,Không,Không
Bùi Thành Vinh,226A010564,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 1,84,91,10.0,100,Đại cương,Có,Trắc nghiệm,Có,Không,0,Có,Có,Không
Trần Văn Quân,226A010565,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,87,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Không,Không,Không
Trần Thành Tùng,226A010566,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,88,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Không
Võ Thành Bình,226A010567,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,30,41,8.8,30,Đại cương,Không,Tự luận,Không,Không,41,Không,Không,Không
Bùi Hữu Sơn,226A010568,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,79,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Không,Có
Phạm Gia Nam,226A010569,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 2,50,66,2.8,35,Đại cương,Có,Tự luận,Có,Không,100,Có,Có,Không
Huỳnh Quang Phúc,226A010570,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 2,63,16,1.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Lê Thái Hưng,226A010571,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 2,7,83,4.5,20,Đại cương,Không,Tự luận,Không,Không,33,Có,Không,Không
Lê Hữu Khang,226A010572,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 2,62,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,22,Có,Có,Có
Huỳnh Thái Cường,226A010573,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,88,100,9.8,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Có
Bùi Thành Quân,226A010574,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 2,87,100,9.8,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Không,Không
Lê Văn Bình,226A010575,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 2,81,100,7.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Đỗ Văn Hải,226A010576,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 1,7,8,7.8,50,Đại cương,Không,Trắc nghiệm,Không,Không,50,Có,Có,Có
Hoàng Gia Vinh,226A010577,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,2,0,6.5,35,Chuyên ngành,Có,Trắc nghiệm,Không,Không,41,Không,Không,Không
Lê Thái Hưng,226A010578,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,49,100,6.3,85,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Không,Không
Trần Hữu An,226A010579,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,88,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Có
Nguyễn Thành Khang,226A010580,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,64,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Có,Không,Có
Phạm Minh Phúc,226A010581,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,53,100,8.8,20,Chuyên ngành,Không,Trắc nghiệm,Không,Không,33,Có,Không,Không
Phạm Minh Bình,226A010582,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,96,66,8.3,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,75,Không,Có,Có
Trần Đức Sơn,226A010583,Ngoại ngữ,Ngôn ngữ Anh,226A003,Tiếng Anh giao tiếp - Nhóm 1,87,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Có,Không
Phạm Anh Sơn,226A010584,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 2,19,33,0.0,40,Đại cương,Có,Tự luận,Không,Không,25,Có,Có,Có
Hoàng Minh Sơn,226A010585,Kỹ thuật điện,Điện dân dụng,226A005,Triết học Mác - Lênin - Nhóm 2,68,100,8.5,100,Đại cương,Có,Tự luận,Không,Không,16,Không,Không,Có
Phạm Văn Khang,226A010586,Công nghệ thông tin,An toàn thông tin,226A002,Vật lý đại cương - Nhóm 2,82,100,8.0,100,Đại cương,Không,Tự luận,Không,Không,0,Có,Có,Có
Võ Đức Dũng,226A010587,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,69,100,9.0,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Có,Có,Không
Phạm Thành An,226A010588,Kỹ thuật điện,Điện công nghiệp,226A005,Kỹ năng giao tiếp - Nhóm 2,84,100,8.3,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Không
Hoàng Ngọc Phúc,226A010589,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 1,1,0,5.0,30,Đại cương,Không,Tự luận,Không,Không,83,Không,Có,Không
Võ Gia Long,226A010590,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 2,2,44,8.8,50,Đại cương,Có,Tự luận,Không,Không,22,Có,Không,Không
Nguyễn Minh Quân,226A010591,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,90,66,1.0,100,Chuyên ngành,Có,Tự luận,Không,Không,66,Không,Có,Không
Đặng Văn Quân,226A010592,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,19,0,4.8,20,Chuyên ngành,Không,Trắc nghiệm,Không,Không,83,Có,Có,Có
Bùi Minh Phúc,226A010593,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,65,8,8.3,100,Chuyên ngành,Có,Tự luận,Có,Không,8,Có,Có,Có
Nguyễn Văn Dũng,226A010594,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,50,50,1.3,55,Đại cương,Không,Trắc nghiệm,Không,Không,33,Có,Có,Không
Trần Ngọc Dũng,226A010595,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 1,80,100,8.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Trần Quang Sơn,226A010596,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,20,100,5.5,30,Chuyên ngành,Không,Trắc nghiệm,Có,Có,66,Không,Không,Có
Bùi Minh Cường,226A010597,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,60,100,6.5,85,Chuyên ngành,Có,Trắc nghiệm,Không,Không,25,Không,Có,Không
Trần Đức Hưng,226A010598,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,87,100,10.0,100,Chuyên ngành,Không,Tự luận,Không,Không,8,Không,Không,Không
Đỗ Quang Nam,226A010599,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 2,68,50,7.0,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Không
Hoàng Thái Vinh,226A010600,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 1,21,88,0.0,70,Đại cương,Không,Tự luận,Có,Không,0,Có,Không,Không
Bùi Minh Hải,226A010601,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 2,85,100,8.0,100,Đại cương,Có,Tự luận,Không,Không,22,Không,Có,Không
Lê Ngọc Hưng,226A010602,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,33,16,3.0,75,Chuyên ngành,Có,Tự luận,Không,Không,41,Có,Không,Có
Nguyễn Thành Phúc,226A010603,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,7,66,6.5,35,Chuyên ngành,Có,Tự luận,Có,Có,0,Có,Không,Không
Lê Thành Cường,226A010604,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,27,22,4.0,50,Chuyên ngành,Không,Trắc nghiệm,Không,Không,100,Không,Không,Có
Đỗ Thái An,226A010605,Ngoại ngữ,Ngôn ngữ Anh,226A003,Triết học Mác - Lênin - Nhóm 2,84,58,9.5,100,Đại cương,Có,Tự luận,Không,Không,8,Không,Không,Không
Phạm Minh Bình,226A010606,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 2,81,11,8.0,100,Đại cương,Không,Trắc nghiệm,Không,Không,22,Có,Không,Không
Huỳnh Ngọc An,226A010607,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 2,32,50,9.5,25,Đại cương,Không,Trắc nghiệm,Có,Không,83,Không,Không,Không
Trần Hữu Hưng,226A010608,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 2,67,100,8.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Hoàng Đức An,226A010609,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 2,9,33,6.8,35,Đại cương,Không,Trắc nghiệm,Không,Không,83,Có,Có,Có
Bùi Thành Tùng,226A010610,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,61,100,9.5,100,Chuyên ngành,Không,Tự luận,Không,Không,11,Không,Không,Không
Lê Minh Hải,226A010611,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,65,100,8.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,8,Có,Có,Có
Đặng Quang An,226A010612,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,79,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Không
Bùi Ngọc Vinh,226A010613,Ngoại ngữ,Ngôn ngữ Trung,226A004,Toán cao cấp - Nhóm 2,74,100,9.8,100,Đại cương,Có,Tự luận,Có,Có,22,Không,Không,Không
Hoàng Minh Dũng,226A010614,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,64,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Không
Trần Ngọc Hưng,226A010615,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,68,100,9.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Có,Không
Lê Anh Tùng,226A010616,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 2,22,33,4.5,25,Đại cương,Không,Trắc nghiệm,Có,Không,100,Không,Có,Không
Lê Ngọc Cường,226A010617,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,12,0,7.3,70,Chuyên ngành,Có,Tự luận,Có,Không,0,Có,Có,Không
Bùi Gia Dũng,226A010618,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,89,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Không
Đặng Thái Vinh,226A010619,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 2,18,16,4.5,50,Đại cương,Không,Trắc nghiệm,Không,Không,83,Có,Có,Có
Hoàng Hữu Vinh,226A010620,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,86,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Không,Không,Có
Nguyễn Thái Tùng,226A010621,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 2,2,33,4.0,65,Đại cương,Không,Tự luận,Không,Không,66,Có,Không,Không
Lê Thái Nam,226A010622,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 2,66,100,9.5,100,Đại cương,Không,Trắc nghiệm,Không,Không,0,Không,Không,Có
Bùi Minh An,226A010623,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,34,55,3.0,30,Chuyên ngành,Có,Tự luận,Có,Có,0,Có,Không,Không
Võ Anh Hải,226A010624,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 2,70,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Không
Huỳnh Thành Tùng,226A010625,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 2,82,100,8.3,100,Đại cương,Có,Tự luận,Có,Không,25,Có,Không,Có
Trần Gia Long,226A010626,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,100,0,8.5,100,Chuyên ngành,Không,Tự luận,Không,Không,66,Có,Không,Không
Đỗ Quang Hải,226A010627,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,53,16,1.8,30,Chuyên ngành,Có,Trắc nghiệm,Có,Có,16,Có,Có,Không
Bùi Thành Bình,226A010628,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,87,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Không,Không,Có
Bùi Thái Vinh,226A010629,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,4,0,6.5,65,Chuyên ngành,Không,Tự luận,Không,Không,55,Không,Không,Có
Lê Gia Tùng,226A010630,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,55,77,2.3,75,Chuyên ngành,Có,Tự luận,Không,Không,88,Có,Có,Không
Võ Minh Tùng,226A010631,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,89,100,10.0,100,Chuyên ngành,Không,Tự luận,Không,Không,22,Có,Có,Có
Đặng Minh Dũng,226A010632,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 2,81,100,9.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,16,Có,Có,Có
Đỗ Đức Hưng,226A010633,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,88,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Có,Có,Có
Trần Quang Phúc,226A010634,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,80,16,7.3,100,Đại cương,Không,Tự luận,Không,Không,83,Có,Không,Không
Đỗ Thái Bình,226A010635,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 2,26,0,6.0,70,Đại cương,Không,Tự luận,Không,Không,100,Không,Không,Có
Lê Đức Phúc,226A010636,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,64,100,8.5,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Không
Đỗ Hữu Phúc,226A010637,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 2,85,77,3.0,100,Đại cương,Không,Tự luận,Có,Không,33,Không,Có,Không
Đỗ Minh Nam,226A010638,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 2,30,16,7.5,90,Đại cương,Có,Trắc nghiệm,Không,Không,100,Không,Có,Không
Võ Hữu Cường,226A010639,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 2,28,41,9.0,60,Đại cương,Không,Tự luận,Có,Có,83,Không,Không,Có
Nguyễn Đức Phúc,226A010640,Cơ khí,Chế tạo máy,226A005,Vật lý đại cương - Nhóm 2,5,25,7.0,40,Đại cương,Không,Trắc nghiệm,Không,Không,25,Không,Không,Không
Nguyễn Đức Phúc,226A010641,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,62,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Không
Hoàng Thái Bình,226A010642,Ngoại ngữ,Ngôn ngữ Anh,226A003,Pháp luật đại cương - Nhóm 2,11,100,9.3,35,Đại cương,Có,Trắc nghiệm,Có,Có,44,Có,Có,Có
Hoàng Hữu Cường,226A010643,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,65,100,10.0,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Không
Phạm Quang Dũng,226A010644,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,76,100,8.0,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Không,Có
Bùi Minh Phúc,226A010645,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 2,10,11,3.8,65,Đại cương,Có,Tự luận,Không,Không,33,Không,Có,Không
Hoàng Hữu An,226A010646,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,80,16,6.8,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,100,Có,Có,Không
Phạm Đức Khang,226A010647,Kỹ thuật điện,Điện công nghiệp,226A005,Kỹ năng giao tiếp - Nhóm 2,66,100,8.3,100,Đại cương,Có,Tự luận,Có,Có,0,Có,Có,Có
Trần Hữu Bình,226A010648,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,78,100,9.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,25,Không,Không,Có
Đặng Gia Quân,226A010649,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 2,4,11,7.5,70,Đại cương,Không,Tự luận,Có,Không,66,Không,Có,Không
Trần Thành Sơn,226A010650,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,80,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,16,Có,Có,Có
Võ Thành Tùng,226A010651,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,27,50,6.0,50,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Không
Đỗ Gia Dũng,226A010652,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 2,63,100,8.3,100,Đại cương,Không,Trắc nghiệm,Không,Không,25,Có,Có,Có
Lê Hữu Bình,226A010653,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,74,100,8.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Không
Đặng Quang Khang,226A010654,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,72,77,9.8,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Không,Có,Không
Đỗ Đức An,226A010655,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,74,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,22,Có,Không,Không
Đặng Anh An,226A010656,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 2,50,8,7.0,80,Đại cương,Không,Tự luận,Không,Không,100,Không,Không,Có
Đặng Quang Quân,226A010657,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 2,73,100,9.0,100,Đại cương,Có,Trắc nghiệm,Có,Không,0,Có,Có,Không
Phạm Đức Cường,226A010658,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,83,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Huỳnh Minh An,226A010659,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,67,100,10.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Không,Có,Không
Võ Quang Khang,226A010660,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 2,67,100,8.3,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Có
Phạm Thái Long,226A010661,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,71,100,9.0,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,22,Có,Có,Không
Đỗ Thành Hưng,226A010662,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,62,100,9.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Lê Văn Khang,226A010663,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,74,100,9.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Võ Đức Tùng,226A010664,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,67,100,8.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Đỗ Thái Bình,226A010665,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,67,100,9.3,100,Chuyên ngành,Không,Tự luận,Không,Không,11,Có,Có,Có
Đặng Gia Quân,226A010666,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 2,53,100,9.8,60,Đại cương,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Phạm Hữu Khang,226A010667,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,37,66,3.3,80,Đại cương,Có,Trắc nghiệm,Không,Không,11,Có,Không,Có
Đặng Quang Khang,226A010668,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 2,10,0,6.8,70,Đại cương,Không,Tự luận,Không,Không,66,Có,Không,Không
Nguyễn Văn Sơn,226A010669,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 2,89,100,8.3,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Không
Đặng Thái Vinh,226A010670,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 2,83,100,9.0,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Có,Có
Đặng Anh Hưng,226A010671,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,30,16,7.3,40,Chuyên ngành,Có,Tự luận,Không,Không,100,Không,Không,Có
Lê Anh Sơn,226A010672,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,36,100,6.5,90,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Không
Nguyễn Thành Phúc,226A010673,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 2,94,16,9.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,8,Không,Không,Không
Lê Hữu Vinh,226A010674,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,26,33,7.3,20,Chuyên ngành,Có,Tự luận,Không,Không,50,Không,Không,Không
Võ Quang Sơn,226A010675,Kỹ thuật điện,Điện dân dụng,226A005,Kỹ năng giao tiếp - Nhóm 2,90,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Không
Bùi Minh Hải,226A010676,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,62,100,9.0,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,22,Không,Không,Không
Hoàng Minh Cường,226A010677,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 2,55,100,7.5,80,Đại cương,Có,Trắc nghiệm,Có,Có,16,Không,Có,Có
Đỗ Đức Phúc,226A010678,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,87,100,7.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Không,Không
Trần Đức Long,226A010679,Ngoại ngữ,Ngôn ngữ Trung,226A004,Toán cao cấp - Nhóm 2,69,0,3.5,100,Đại cương,Có,Trắc nghiệm,Có,Có,16,Có,Không,Không
Hoàng Hữu An,226A010680,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 2,77,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,25,Có,Không,Có
Phạm Minh Cường,226A010681,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 2,53,100,7.0,80,Đại cương,Có,Tự luận,Không,Không,16,Có,Không,Có
Bùi Hữu Phúc,226A010682,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,43,33,3.8,20,Chuyên ngành,Không,Trắc nghiệm,Không,Không,44,Có,Có,Không
Võ Văn Sơn,226A010683,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 2,32,100,9.8,75,Đại cương,Không,Tự luận,Có,Có,77,Có,Có,Có
Nguyễn Quang Sơn,226A010684,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 2,63,100,9.0,100,Đại cương,Có,Trắc nghiệm,Có,Có,0,Có,Có,Không
Võ Văn Sơn,226A010685,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 2,86,100,9.8,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Có,Không
Lê Anh Dũng,226A010686,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 2,53,77,6.8,95,Đại cương,Có,Trắc nghiệm,Có,Có,0,Có,Có,Có
Phạm Ngọc An,226A010687,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 2,64,100,8.3,100,Đại cương,Có,Tự luận,Không,Không,22,Có,Có,Không
Phạm Anh Cường,226A010688,Công nghệ thông tin,Công nghệ phần mềm,226A001,Pháp luật đại cương - Nhóm 2,50,100,6.8,95,Đại cương,Không,Trắc nghiệm,Có,Không,0,Không,Không,Có
Bùi Anh Sơn,226A010689,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,96,83,4.0,100,Chuyên ngành,Không,Tự luận,Không,Không,75,Có,Không,Có
Đỗ Quang Nam,226A010690,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 2,2,0,4.8,25,Đại cương,Có,Tự luận,Không,Không,83,Không,Có,Có
Đặng Minh Khang,226A010691,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,70,100,9.8,100,Chuyên ngành,Không,Tự luận,Không,Không,25,Có,Không,Có
Trần Minh Phúc,226A010692,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,72,100,8.8,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Không,Có,Có
Đặng Gia Quân,226A010693,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,81,66,5.8,100,Chuyên ngành,Có,Trắc nghiệm,Có,Có,16,Có,Có,Không
Trần Thành Nam,226A010694,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 2,72,100,10.0,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Có
